Movie_Title,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words
Bad Lieutenant,/Bad-Lieutenant.html,18,17,0,0,2,1,0,1,0,1,0,15354
Bad Santa,/Bad-Santa.html,41,62,0,9,3,21,5,4,0,1,0,16368
Bad Teacher,/Bad-Teacher.html,10,15,2,2,0,7,1,0,0,0,0,21724
Badlands,/Badlands.html,0,0,3,0,0,1,0,0,0,0,0,14790
Bamboozled,/Bamboozled.html,1,1,9,1,0,13,0,0,0,1,0,24967
Barry Lyndon,/Barry-Lyndon.html,0,0,0,0,0,0,0,0,1,0,0,33449
Barton Fink,/Barton-Fink.html,4,1,6,3,0,6,1,0,0,1,0,22274
Basic,/Basic.html,10,33,1,3,0,6,2,0,0,0,0,22961
Basic Instinct,/Basic-Instinct.html,2,20,2,1,0,3,0,2,0,0,0,20608
Basquiat,/Basquiat.html,13,10,3,0,2,0,1,1,0,0,0,19459
Batman,/Batman.html,6,1,0,1,0,1,51,0,0,0,0,32586
Batman 2,/Batman-2.html,9,1,1,5,0,4,65,0,0,0,0,38338
"Battle of Algiers, The","/Battle-of-Algiers,-The.html",1,0,0,1,0,0,0,0,0,3,0,33622
"Battle of Shaker Heights, The","/Battle-of-Shaker-Heights,-The.html",5,9,4,2,1,1,0,0,0,0,0,18710
"Beach, The","/Beach,-The.html",6,5,1,0,1,0,1,4,0,0,0,18774
Bean,/Bean.html,1,0,9,1,0,4,0,0,0,0,0,29971
Beasts of No Nation,/Beasts-of-No-Nation.html,0,0,0,0,0,1,0,0,0,0,0,25506
Beasts of the Southern Wild,/Beasts-of-the-Southern-Wild.html,2,1,5,1,0,4,0,0,1,1,0,16335
Beauty and the Beast,/Beauty-and-the-Beast.html,0,0,0,0,0,0,11,0,0,0,0,23948
Beavis and Butt-head Do America,/Beavis-and-Butt-head-Do-America.html,0,0,12,0,0,15,0,0,0,0,0,18754
Beginners,/Beginners.html,0,4,0,0,0,1,0,0,0,0,0,18842
Being Human,/Being-Human.html,1,2,1,0,0,0,0,0,0,0,0,40255
Being John Malkovich,/Being-John-Malkovich.html,12,7,6,2,0,1,2,0,0,9,0,21187
Being There,/Being-There.html,0,1,6,3,2,5,0,0,0,1,0,25507
"Believer, The","/Believer,-The.html",16,18,1,0,1,3,2,0,0,1,0,22985
Belle,/Belle.html,0,0,1,0,0,0,0,0,0,0,0,21597
Beloved,/Beloved.html,1,0,8,1,0,0,0,0,0,1,0,34617
"Best Exotic Marigold Hotel, The","/Best-Exotic-Marigold-Hotel,-The.html",0,2,0,0,0,0,0,0,0,0,0,24554
Big,/Big.html,1,1,3,0,1,1,0,0,0,1,0,8608
"Big Blue, The","/Big-Blue,-The.html",3,0,6,2,0,4,0,0,0,1,0,25258
Big Eyes,/Big-Eyes.html,4,1,1,2,0,2,45,0,0,0,0,23266
Big Fish,/Big-Fish.html,4,0,3,1,0,3,0,0,0,0,0,26804
"Big Lebowski, The","/Big-Lebowski,-The.html",36,86,3,3,4,10,4,0,1,0,0,22597
"Big Sick, The","/Big-Sick,-The.html",10,24,0,1,3,1,0,0,0,0,0,20686
"Big White, The","/Big-White,-The.html",7,8,1,2,0,3,0,4,2,0,0,23874
Birdman,/Birdman.html,30,49,0,2,6,11,4,0,0,1,0,23295
"Birds, The","/Birds,-The.html",0,0,3,0,0,0,0,0,0,0,0,32927
Birthday Girl,/Birthday-Girl.html,1,7,0,0,0,1,0,0,1,0,0,17887
"Black Dahlia, The","/Black-Dahlia,-The.html",10,17,6,4,0,1,7,2,1,1,0,37437
