,Movie_Title,IMDB,Film Rating,Released,Runtime,Genre,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words
56,An American Werewolf in London,0.76,R,21 Aug 1981,97 min,"Comedy, Horror",,,,,,,,,,,,,
57,American: The Bill Hicks Story,0.78,NOT RATED,08 Apr 2011,102 min,"Documentary, Animation, Biography, Comedy",,,,,,,,,,,,,
58,Amour,0.79,PG-13,20 Sep 2012,127 min,"Drama, Romance",/Amour.html,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14391.0
59,An Education,0.73,PG-13,05 Feb 2010,100 min,Drama,/An-Education.html,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23256.0
60,Analyze That,0.59,R,06 Dec 2002,96 min,"Comedy, Crime",/Analyze-That.html,20.0,14.0,1.0,3.0,7.0,1.0,0.0,5.0,1.0,0.0,0.0,22828.0
61,Analyze This,0.67,R,05 Mar 1999,103 min,"Comedy, Crime",/Analyze-This.html,14.0,15.0,2.0,2.0,2.0,6.0,1.0,0.0,0.0,4.0,0.0,23765.0
62,Anastasia,0.71,G,21 Nov 1997,94 min,"Animation, Adventure, Drama, Family, Fantasy, Musical, Mystery, Romance",/Anastasia.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21265.0
63,Angel Eyes,0.56,R,18 May 2001,102 min,"Drama, Romance",/Angel-Eyes.html,9.0,0.0,8.0,3.0,2.0,7.0,0.0,0.0,0.0,2.0,0.0,28212.0
64,Angels & Demons,0.67,PG-13,15 May 2009,138 min,"Mystery, Thriller",/Angels-&-Demons.html,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,30054.0
65,Anna Karenina,0.66,R,07 Sep 2012,129 min,"Drama, Romance",/Anna-Karenina.html,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28583.0
66,Annie Hall,0.8,PG,20 Apr 1977,93 min,"Comedy, Romance",/Annie-Hall.html,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,28560.0
67,Anonymous,0.69,PG-13,28 Oct 2011,130 min,"Drama, Thriller",/Anonymous.html,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,27996.0
68,Antitrust,0.61,PG-13,12 Jan 2001,105 min,"Action, Crime, Drama, Thriller",/Antitrust.html,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26022.0
69,Antz,0.66,PG,02 Oct 1998,83 min,"Animation, Adventure, Comedy, Family",/Antz.html,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18345.0
70,Apocalypse Now,0.85,R,15 Aug 1979,147 min,"Drama, War",/Apocalypse-Now.html,14.0,5.0,11.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,30121.0
71,April Fool's Day,0.62,R,28 Mar 1986,89 min,"Horror, Mystery",/April-Fool's-Day.html,12.0,13.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,21396.0
72,Apt Pupil,0.67,R,23 Oct 1998,111 min,"Crime, Drama, Thriller",/Apt-Pupil.html,4.0,22.0,2.0,1.0,0.0,0.0,95.0,0.0,0.0,1.0,0.0,30395.0
73,Arbitrage,0.66,R,14 Sep 2012,107 min,"Drama, Thriller",/Arbitrage.html,2.0,22.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18864.0
74,Arcade,0.53,R,30 Mar 1994,85 min,"Horror, Sci-Fi",/Arcade.html,14.0,7.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,22926.0
75,Arctic Blue,0.51,R,N/A,95 min,"Action, Thriller",/Arctic-Blue.html,13.0,10.0,11.0,1.0,1.0,6.0,0.0,0.0,1.0,3.0,0.0,27560.0
76,Argo,0.77,R,12 Oct 2012,120 min,"Biography, Drama, Thriller",/Argo.html,2.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24189.0
