,Unnamed: 0,Movie_Title,IMDB,Film Rating,Released,Runtime,Genre,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words,total_bad_words,Runtime_minutes,bad_word_frequency,Year
689,689,Room,0.82,R,22 Jan 2016,118 min,"Drama, Thriller",/Room.html,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23547.0,7.0,118.0,16.86,2016
690,690,My Roommate the,0.85,float(0),01 Mar 2010,8 min,Comedy,float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),1.0,8.0,8.0,2010
691,691,Roughshod,0.67,PASSED,11 May 1949,88 min,"Action, Adventure, Drama",/Roughshod.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29860.0,0.0,88.0,inf,1949
692,692,City of Ruins: The Halifax Explosion,0.67,float(0),28 Oct 2003,60 min,Documentary,float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),1.0,60.0,60.0,2003
693,693,Runaway Bride,0.55,PG,30 Jul 1999,116 min,"Comedy, Romance",/Runaway-Bride.html,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,25732.0,4.0,116.0,29.0,1999
694,694,Rush,0.81,R,27 Sep 2013,123 min,"Action, Biography, Drama, Sport",/Rush.html,2.0,5.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,22306.0,21.0,123.0,5.86,2013
695,695,Rush Hour,0.7,PG-13,18 Sep 1998,98 min,"Action, Comedy, Crime, Thriller",/Rush-Hour.html,26.0,8.0,6.0,3.0,13.0,6.0,0.0,0.0,0.0,1.0,0.0,27818.0,63.0,98.0,1.56,1998
696,696,Rush Hour 2,0.66,PG-13,03 Aug 2001,90 min,"Action, Comedy, Crime, Thriller",/Rush-Hour-2.html,21.0,0.0,6.0,1.0,0.0,17.0,1.0,0.0,0.0,1.0,0.0,19347.0,47.0,90.0,1.91,2001
697,697,Rust and Bone,0.75,R,17 May 2012,120 min,"Drama, Romance",/Rust-and-Bone.html,11.0,10.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,21883.0,29.0,120.0,4.14,2012
698,698,S. Darko,0.36,R,21 Aug 2009,103 min,"Mystery, Sci-Fi, Thriller",/S.-Darko.html,14.0,19.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,24310.0,44.0,103.0,2.34,2009
700,700,Save the Last Dance,0.62,PG-13,12 Jan 2001,112 min,"Drama, Music, Romance",/Save-the-Last-Dance.html,53.0,17.0,4.0,12.0,4.0,22.0,1.0,0.0,0.0,0.0,0.0,26713.0,113.0,112.0,0.99,2001
701,701,Saving Mr. Banks,0.75,PG-13,20 Dec 2013,125 min,"Biography, Comedy, Drama, Family, Music",/Saving-Mr.-Banks.html,0.0,0.0,1.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,24174.0,129.0,125.0,0.97,2013
702,702,Saving Private Ryan,0.86,R,24 Jul 1998,169 min,"Drama, War",/Saving-Private-Ryan.html,10.0,8.0,8.0,4.0,2.0,5.0,0.0,0.0,0.0,5.0,0.0,23201.0,42.0,169.0,4.02,1998
703,703,Saw,0.76,R,29 Oct 2004,103 min,"Horror, Mystery",/Saw.html,13.0,18.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,25580.0,45.0,103.0,2.29,2004
704,704,Scarface,0.83,R,09 Dec 1983,170 min,"Crime, Drama",/Scarface.html,35.0,67.0,0.0,1.0,4.0,18.0,1.0,3.0,1.0,0.0,0.0,37231.0,130.0,170.0,1.31,1983
705,705,Schindler's List,0.89,R,04 Feb 1994,195 min,"Biography, Drama, History",/Schindler's-List.html,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30532.0,2.0,195.0,97.5,1994
706,706,Scott Pilgrim vs. the World,0.75,PG-13,13 Aug 2010,112 min,"Action, Comedy, Fantasy, Romance",float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),1.0,112.0,112.0,2010
707,707,Scream,0.72,R,20 Dec 1996,111 min,"Horror, Mystery",/Scream.html,24.0,18.0,2.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,22777.0,56.0,111.0,1.98,1996
708,708,Scream 2,0.61,R,12 Dec 1997,120 min,"Horror, Mystery",/Scream-2.html,23.0,2.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,21245.0,36.0,120.0,3.33,1997
709,709,Scream 3,0.56,R,04 Feb 2000,116 min,"Horror, Mystery",/Scream-3.html,29.0,14.0,7.0,3.0,2.0,5.0,0.0,1.0,1.0,2.0,0.0,19101.0,64.0,116.0,1.81,2000
710,710,Se7en,0.86,R,22 Sep 1995,127 min,"Crime, Drama, Mystery, Thriller",/Se7en.html,6.0,25.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,35452.0,41.0,127.0,3.1,1995
711,711,Semi-Pro,0.58,R,29 Feb 2008,91 min,"Comedy, Sport",/Semi-Pro.html,25.0,12.0,9.0,1.0,6.0,10.0,3.0,1.0,1.0,0.0,0.0,24217.0,68.0,91.0,1.34,2008
712,712,Sense and Sensibility,0.77,PG,26 Jan 1996,136 min,"Drama, Romance",/Sense-and-Sensibility.html,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28230.0,2.0,136.0,68.0,1996
713,713,Serenity,0.79,PG-13,30 Sep 2005,119 min,"Action, Adventure, Sci-Fi, Thriller",/Serenity.html,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,26853.0,8.0,119.0,14.88,2005
714,714,Serial Mom,0.67,R,13 Apr 1994,95 min,"Comedy, Crime, Thriller",/Serial-Mom.html,4.0,8.0,3.0,4.0,2.0,0.0,1.0,7.0,2.0,1.0,0.0,20013.0,32.0,95.0,2.97,1994
715,715,Sex and the City,0.56,R,30 May 2008,145 min,"Comedy, Drama, Romance",/Sex-and-the-City.html,6.0,3.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,31958.0,20.0,145.0,7.25,2008
716,716,"Sex, Lies, and Videotape",0.72,R,22 Sep 1989,100 min,Drama,float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),1.0,100.0,100.0,1989
717,717,Sexual Life,0.51,R,19 Jun 2004,96 min,"Comedy, Drama",/Sexual-Life.html,5.0,5.0,2.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,16881.0,22.0,96.0,4.36,2004
718,718,Shakespeare in Love,0.71,R,08 Jan 1999,123 min,"Comedy, Drama, History, Romance",/Shakespeare-in-Love.html,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23744.0,1.0,123.0,123.0,1999
719,719,Shallow Grave,0.73,R,10 Feb 1995,89 min,"Crime, Thriller",/Shallow-Grave.html,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14165.0,3.0,89.0,29.67,1995
